Genre,Percentage,#Movies,#TvShows
Drama,17.99075868236697,4795,1240
Comedy,14.318080190788493,3823,980
Action,8.102548815024594,2201,517
Thriller,7.995230287673275,2280,402
Romance,7.023401401102997,1843,513
Crime,5.580563422268595,1472,400
Adventure,5.172156804292741,1337,398
Fantasy,4.54016992100164,1032,491
Animation,4.355343568341034,718,743
Family,3.8902966164853185,980,325
Sci-Fi,3.4401550156506184,835,319
Mystery,3.434192875242212,825,327
Horror,3.088388731554628,869,167
Documentary,2.3788940229542406,575,223
Biography,1.8572067372186616,571,52
History,1.4875540318974512,386,113
Music,1.1328066775972574,467,104
Sport,1.0374124310627515,288,60
War,0.9569235355492622,275,46
Musical,0.6260247428826948,169,41
Short,0.5664033387986287,129,61
Reality-TV,0.46504695185571626,11,145
Western,0.3070502310329408,92,11
Game-Show,0.14607244000596215,1,48
Talk-Show,0.05067819347145626,0,17
News,0.041734982858846324,11,3
Adult,0.008943210612609928,1,2
Film-Noir,0.005962140408406618,2,0
